# catalog_taxonomy.tsv - machine taxonomy of all closed symmetry groups, N = 3..14
# (6112 entries: 3+8+11+27+36+90+131+282+394+948+1316+2866). Produced by code/classify_catalog.cpp
# (N=14 rows from the orbit-partition decomposition catalogue materials/14Spins.txt,
#  which uses the IR canonical representative; see code/catalog_format.cpp).
#
# id      = N/o<order>.<index>; <index> is the 1-based line position inside the
#           "--- order K ---" section of the anchor catalogue file:
#             N = 8        -> materials/8Spins.txt
#             N = 11..13   -> materials/11Spins.txt, 12Spins.txt, 13Spins.txt
#             other N      -> materials/<N>Spins_generated.txt
#           NOTE: regenerating a catalogue may permute lines inside a section
#           (parallel enumeration), so the committed files are the ID anchors.
# order   = |Aut| (recomputed independently; matches every section header)
# twins   = magnetic composite sizes n_g (identical rows off the mutual edge)
# gq      = |Gamma_q| = |Aut| / prod(n_g!)  (residual factor group order)
# orbits  = vertex orbit sizes under the full Aut
# fixedpt = y: has a fixed vertex (entry inherited from level N-1 by the tower
#           theorem); n: fixed-point-free (essentially new at this N).
#           Counts of 'n' per N reproduce f(N): 1,5,3,16,9,54,41,151,112,554,368,1550.
# cyclic  = y iff an element of order |Aut| exists
# maxelt  = maximal element order in Aut
# abelian, ambivalent = y/n, computed when |Aut| <= 2000, else '-'
#           (ambivalent: every element conjugate to its inverse <=> all
#            characters real <=> X-approximation blocks combine pairwise)
id	order	twins	gq	orbits	fixedpt	cyclic	maxelt	abelian	ambivalent
12/o384.6	384	4,1,1,1,1,1,1,1,1	16	8+4	n	n	24	n	y
12/o384.7	384	2,2,2,2,2,2	6	12	n	n	6	n	n
12/o384.8	384	2,2,2,2,1,1,1,1	24	8+1+1+1+1	y	n	8	n	y
12/o384.9	384	4,1,1,1,1,1,1,1,1	16	8+4	n	n	12	n	y
12/o384.10	384	4,2,2,1,1,1,1	4	4+4+2+2	n	n	6	n	y
12/o384.11	384	2,2,2,2,2,2	6	6+6	n	n	6	n	y
12/o384.12	384	1,1,1,1,1,1,1,1,1,1,1,1	384	12	n	n	6	n	y
12/o384.13	384	2,2,2,2,1,1,1,1	24	6+4+2	n	n	6	n	y
12/o384.14	384	2,2,1,1,1,1,1,1,1,1	96	8+4	n	n	12	n	y
12/o384.15	384	2,2,2,2,2,1,1	12	6+4+2	n	n	12	n	y
12/o384.16	384	3,2,2,2,2,1	4	4+4+3+1	y	n	12	n	y
12/o384.17	384	4,2,2,1,1,1,1	4	4+4+2+2	n	n	12	n	y
12/o384.18	384	3,2,2,2,2,1	4	8+3+1	y	n	12	n	y
12/o384.19	384	4,2,2,2,1,1	2	4+4+2+2	n	n	12	n	y
12/o384.20	384	2,2,2,2,2,2	6	6+2+2+2	n	n	6	n	y
12/o384.21	384	4,2,2,2,1,1	2	4+4+2+1+1	y	n	12	n	y
12/o400.1	400	2,1,1,1,1,1,1,1,1,1,1	200	10+2	n	n	10	n	y
12/o432.1	432	3,3,1,1,1,1,1,1	12	6+3+3	n	n	12	n	y
12/o432.2	432	3,3,3,1,1,1	2	6+3+1+1+1	y	n	12	n	y
12/o432.3	432	3,3,3,1,1,1	2	6+3+2+1	y	n	12	n	y
12/o432.4	432	3,3,1,1,1,1,1,1	12	6+3+3	n	n	6	n	y
12/o432.5	432	3,3,1,1,1,1,1,1	12	6+6	n	n	12	n	y
12/o432.6	432	3,3,1,1,1,1,1,1	12	6+6	n	n	12	n	y
12/o432.7	432	3,1,1,1,1,1,1,1,1,1	72	9+3	n	n	12	n	y
12/o432.8	432	3,3,3,2,1	1	3+3+3+2+1	y	n	6	n	y
12/o480.1	480	2,2,2,1,1,1,1,1,1	60	6+5+1	y	n	30	n	y
12/o480.2	480	5,1,1,1,1,1,1,1	4	5+4+2+1	y	n	10	n	y
12/o480.3	480	4,2,1,1,1,1,1,1	10	5+4+2+1	y	n	30	n	y
12/o480.4	480	5,1,1,1,1,1,1,1	4	5+4+1+1+1	y	n	10	n	y
12/o480.5	480	2,1,1,1,1,1,1,1,1,1,1	240	10+2	n	n	10	n	y
12/o480.6	480	3,2,2,1,1,1,1,1	20	5+4+3	n	n	60	n	y
12/o480.7	480	5,2,2,1,1,1	1	5+2+2+1+1+1	y	n	10	n	y
12/o480.8	480	5,2,1,1,1,1,1	2	5+2+2+2+1	y	n	10	n	y
12/o512.1	512	2,2,2,2,1,1,1,1	32	8+4	n	n	8	n	y
12/o512.2	512	2,2,2,2,2,2	8	8+4	n	n	8	n	y
12/o512.3	512	2,2,2,2,2,2	8	8+4	n	n	4	n	y
12/o512.4	512	2,2,2,2,2,2	8	8+2+2	n	n	8	n	y
12/o512.5	512	2,2,2,2,2,2	8	4+4+4	n	n	4	n	y
12/o576.1	576	3,3,2,1,1,1,1	8	6+4+2	n	n	6	n	y
12/o576.2	576	3,3,2,2,2	2	6+2+2+2	n	n	6	n	y
12/o576.3	576	3,3,2,2,1,1	4	6+4+2	n	n	12	n	y
12/o576.4	576	2,2,2,1,1,1,1,1,1	72	6+6	n	n	12	n	y
12/o576.5	576	4,1,1,1,1,1,1,1,1	24	4+4+4	n	n	12	n	y
12/o576.6	576	3,3,2,2,2	2	6+4+2	n	n	12	n	y
12/o576.7	576	4,3,2,2,1	1	4+3+2+2+1	y	n	12	n	y
12/o576.8	576	3,3,2,2,2	2	4+3+3+2	n	n	12	n	y
12/o576.9	576	3,2,2,2,2,1	6	6+3+2+1	y	n	12	n	y
12/o576.10	576	3,3,2,2,1,1	4	6+4+1+1	y	n	12	n	y
12/o576.11	576	3,3,2,2,1,1	4	6+4+2	n	n	12	n	y
12/o576.12	576	4,2,1,1,1,1,1,1	12	6+4+2	n	n	12	n	y
12/o576.13	576	4,3,1,1,1,1,1	4	4+4+3+1	y	n	12	n	y
12/o576.14	576	4,4,1,1,1,1	1	4+4+1+1+1+1	y	n	12	n	y
12/o640.1	640	2,2,2,2,2,2	10	10+2	n	n	10	n	y
12/o648.1	648	3,3,3,1,1,1	3	9+3	n	n	9	n	n
12/o720.1	720	1,1,1,1,1,1,1,1,1,1,1,1	720	6+6	n	n	6	n	y
12/o720.2	720	5,1,1,1,1,1,1,1	6	6+5+1	y	n	15	n	y
12/o720.3	720	5,1,1,1,1,1,1,1	6	5+3+3+1	y	n	15	n	y
12/o720.4	720	6,1,1,1,1,1,1	1	6+1+1+1+1+1+1	y	n	6	n	y
12/o720.5	720	3,3,1,1,1,1,1,1	20	6+5+1	y	n	30	n	y
12/o720.6	720	5,3,1,1,1,1	1	5+3+1+1+1+1	y	n	15	n	y
12/o768.1	768	4,2,2,1,1,1,1	8	4+4+4	n	n	12	n	y
12/o768.2	768	4,2,2,2,2	2	4+4+2+2	n	n	12	n	y
12/o768.3	768	4,2,2,2,2	2	4+4+4	n	n	12	n	y
12/o768.4	768	2,2,2,2,2,2	12	6+4+2	n	n	12	n	y
12/o768.5	768	2,2,2,2,2,1,1	24	8+2+1+1	y	n	8	n	y
12/o768.6	768	2,2,2,2,1,1,1,1	48	8+2+2	n	n	8	n	y
12/o768.7	768	3,2,2,2,2,1	8	8+3+1	y	n	24	n	y
12/o768.8	768	4,1,1,1,1,1,1,1,1	32	8+4	n	n	12	n	y
12/o768.9	768	2,2,2,2,2,2	12	12	n	n	12	n	y
12/o864.1	864	3,3,1,1,1,1,1,1	24	6+6	n	n	12	n	y
12/o864.2	864	3,3,3,2,1	2	6+3+2+1	y	n	12	n	y
12/o864.3	864	4,3,3,1,1	1	4+3+3+1+1	y	n	12	n	y
12/o960.1	960	5,2,1,1,1,1,1	4	5+4+2+1	y	n	10	n	y
12/o960.2	960	5,2,2,1,1,1	2	5+4+1+1+1	y	n	20	n	y
12/o960.3	960	5,2,2,2,1	1	5+2+2+2+1	y	n	10	n	y
12/o960.4	960	5,2,2,1,1,1	2	5+4+2+1	y	n	20	n	y
12/o1024.1	1024	2,2,2,2,2,2	16	8+4	n	n	8	n	y
12/o1152.1	1152	4,4,1,1,1,1	2	8+2+2	n	n	12	n	y
12/o1152.2	1152	4,1,1,1,1,1,1,1,1	48	8+4	n	n	12	n	y
12/o1152.3	1152	4,4,1,1,1,1	2	8+2+1+1	y	n	12	n	y
12/o1152.4	1152	3,3,2,2,2	4	6+4+2	n	n	12	n	y
12/o1152.5	1152	4,3,2,2,1	2	4+4+3+1	y	n	12	n	y
12/o1152.6	1152	4,2,2,2,1,1	6	6+4+1+1	y	n	12	n	y
12/o1152.7	1152	4,4,2,1,1	1	4+4+2+1+1	y	n	12	n	y
12/o1152.8	1152	4,4,1,1,1,1	2	8+1+1+1+1	y	n	12	n	y
12/o1152.9	1152	4,4,1,1,1,1	2	4+4+2+2	n	n	12	n	y
12/o1200.1	1200	5,1,1,1,1,1,1,1	10	5+5+1+1	y	n	30	n	y
12/o1296.1	1296	3,3,3,3	1	3+3+3+3	n	n	6	n	y
12/o1296.2	1296	3,3,3,1,1,1	6	9+3	n	n	12	n	y
12/o1296.3	1296	3,3,3,1,1,1	6	9+1+1+1	y	n	12	n	y
12/o1440.1	1440	6,1,1,1,1,1,1	2	6+2+2+2	n	n	10	n	y
12/o1440.2	1440	5,3,2,1,1	1	5+3+2+1+1	y	n	30	n	y
12/o1440.3	1440	5,1,1,1,1,1,1,1	12	6+5+1	y	n	30	n	y
12/o1440.4	1440	4,3,1,1,1,1,1	10	5+4+3	n	n	60	n	y
12/o1440.5	1440	5,3,1,1,1,1	2	5+3+2+2	n	n	30	n	y
12/o1440.6	1440	6,1,1,1,1,1,1	2	6+2+2+1+1	y	n	10	n	y
12/o1440.7	1440	6,2,1,1,1,1	1	6+2+1+1+1+1	y	n	10	n	y
12/o1440.8	1440	1,1,1,1,1,1,1,1,1,1,1,1	1440	12	n	n	10	n	y
12/o1536.1	1536	2,2,2,2,1,1,1,1	96	8+4	n	n	8	n	y
12/o1536.2	1536	2,2,2,2,2,2	24	8+2+2	n	n	8	n	y
12/o1536.3	1536	4,2,2,2,2	4	4+4+4	n	n	12	n	y
12/o1536.4	1536	4,2,2,2,2	4	8+4	n	n	12	n	y
12/o1680.1	1680	5,1,1,1,1,1,1,1	14	7+5	n	n	42	n	y
12/o1728.1	1728	4,3,3,1,1	2	6+4+2	n	n	12	n	y
12/o1728.2	1728	4,3,3,1,1	2	6+4+1+1	y	n	12	n	y
12/o1728.3	1728	4,3,3,2	1	4+3+3+2	n	n	12	n	y
12/o1728.4	1728	3,3,2,2,2	6	6+3+3	n	n	12	n	y
12/o1920.1	1920	5,2,2,2,1	2	5+4+2+1	y	n	20	n	y
12/o2160.1	2160	6,1,1,1,1,1,1	3	6+3+3	n	n	15	-	-
12/o2304.1	2304	4,4,2,2	1	4+4+2+2	n	n	12	-	-
12/o2304.2	2304	4,4,1,1,1,1	4	4+4+4	n	n	12	-	-
12/o2304.3	2304	2,2,2,2,2,2	36	6+6	n	n	12	-	-
12/o2304.4	2304	4,4,2,1,1	2	8+2+1+1	y	n	12	-	-
12/o2304.5	2304	4,4,2,1,1	2	8+2+2	n	n	12	-	-
12/o2304.6	2304	3,2,2,2,2,1	24	8+3+1	y	n	24	-	-
12/o2304.7	2304	4,2,2,2,2	6	6+4+2	n	n	12	-	-
12/o2304.8	2304	4,4,1,1,1,1	4	8+4	n	n	12	-	-
12/o2304.9	2304	4,4,1,1,1,1	4	8+2+2	n	n	12	-	-
12/o2400.1	2400	5,2,1,1,1,1,1	10	5+5+2	n	n	30	-	-
12/o2592.1	2592	3,3,3,3	2	6+3+3	n	n	12	-	-
12/o2592.2	2592	3,3,3,2,1	6	9+2+1	y	n	18	-	-
12/o2592.3	2592	3,3,3,3	2	6+6	n	n	12	-	-
12/o2880.1	2880	6,1,1,1,1,1,1	4	6+4+2	n	n	10	-	-
12/o2880.2	2880	5,3,1,1,1,1	4	5+4+3	n	n	30	-	-
12/o2880.3	2880	6,2,1,1,1,1	2	6+2+2+2	n	n	10	-	-
12/o2880.4	2880	6,1,1,1,1,1,1	4	6+4+1+1	y	n	10	-	-
12/o2880.5	2880	5,3,2,2	1	5+3+2+2	n	n	30	-	-
12/o2880.6	2880	6,2,2,1,1	1	6+2+2+1+1	y	n	10	-	-
12/o2880.7	2880	5,4,1,1,1	1	5+4+1+1+1	y	n	20	-	-
12/o3072.1	3072	2,2,2,2,2,2	48	12	n	n	12	-	-
12/o3072.2	3072	2,2,2,2,2,2	48	8+4	n	n	12	-	-
12/o3072.3	3072	4,2,2,2,2	8	8+4	n	n	24	-	-
12/o3456.1	3456	4,3,3,2	2	6+4+2	n	n	12	-	-
12/o3456.2	3456	3,3,2,2,2	12	6+6	n	n	12	-	-
12/o3456.3	3456	4,4,3,1	1	4+4+3+1	y	n	12	-	-
12/o3840.1	3840	2,2,2,2,2,1,1	120	10+1+1	y	n	12	-	-
12/o4320.1	4320	6,3,1,1,1	1	6+3+1+1+1	y	n	15	-	-
12/o4320.2	4320	6,1,1,1,1,1,1	6	6+3+3	n	n	15	-	-
12/o4320.3	4320	5,3,3,1	1	5+3+3+1	y	n	30	-	-
12/o4320.4	4320	6,1,1,1,1,1,1	6	6+6	n	n	15	-	-
12/o4608.1	4608	4,4,1,1,1,1	8	8+4	n	n	12	-	-
12/o4608.2	4608	4,4,2,2	2	8+4	n	n	12	-	-
12/o4608.3	4608	4,4,2,2	2	8+2+2	n	n	12	-	-
12/o4608.4	4608	2,2,2,2,2,2	72	12	n	n	12	-	-
12/o4608.5	4608	4,4,2,2	2	4+4+4	n	n	12	-	-
12/o5040.1	5040	7,1,1,1,1,1	1	7+1+1+1+1+1	y	n	12	-	-
12/o5184.1	5184	3,3,3,3	4	6+6	n	n	12	-	-
12/o5184.2	5184	3,3,3,3	4	12	n	n	12	-	-
12/o5760.1	5760	6,2,1,1,1,1	4	6+4+2	n	n	10	-	-
12/o5760.2	5760	6,2,2,1,1	2	6+4+1+1	y	n	20	-	-
12/o5760.3	5760	6,2,2,2	1	6+2+2+2	n	n	10	-	-
12/o5760.4	5760	5,3,2,2	2	5+4+3	n	n	60	-	-
12/o5760.5	5760	5,2,2,2,1	6	6+5+1	y	n	30	-	-
12/o5760.6	5760	6,2,2,1,1	2	6+4+2	n	n	20	-	-
12/o5760.7	5760	5,4,2,1	1	5+4+2+1	y	n	30	-	-
12/o6912.1	6912	4,4,3,1	2	8+3+1	y	n	24	-	-
12/o7200.1	7200	6,1,1,1,1,1,1	10	6+5+1	y	n	30	-	-
12/o7680.1	7680	2,2,2,2,2,2	120	10+2	n	n	12	-	-
12/o7776.1	7776	3,3,3,3	6	9+3	n	n	18	-	-
12/o8640.1	8640	6,3,2,1	1	6+3+2+1	y	n	30	-	-
12/o8640.2	8640	6,1,1,1,1,1,1	12	6+6	n	n	30	-	-
12/o8640.3	8640	5,3,3,1	2	6+5+1	y	n	30	-	-
12/o9216.1	9216	4,2,2,2,2	24	8+4	n	n	24	-	-
12/o9216.2	9216	4,4,2,2	4	8+4	n	n	12	-	-
12/o10080.1	10080	7,2,1,1,1	1	7+2+1+1+1	y	n	14	-	-
12/o10080.2	10080	7,1,1,1,1,1	2	7+2+2+1	y	n	14	-	-
12/o10368.1	10368	3,3,3,3	8	12	n	n	12	-	-
12/o11520.1	11520	6,2,2,2	2	6+4+2	n	n	20	-	-
12/o13824.1	13824	4,4,4	1	4+4+4	n	n	12	-	-
12/o14400.1	14400	5,5,1,1	1	5+5+1+1	y	n	30	-	-
12/o17280.1	17280	5,4,3	1	5+4+3	n	n	60	-	-
12/o17280.2	17280	6,4,1,1	1	6+4+1+1	y	n	20	-	-
12/o20160.1	20160	7,1,1,1,1,1	4	7+4+1	y	n	14	-	-
12/o20160.2	20160	7,2,2,1	1	7+2+2+1	y	n	14	-	-
12/o25920.1	25920	6,3,3	1	6+3+3	n	n	30	-	-
12/o27648.1	27648	4,4,4	2	8+4	n	n	24	-	-
12/o28800.1	28800	5,5,1,1	2	10+2	n	n	30	-	-
12/o28800.2	28800	5,5,1,1	2	10+1+1	y	n	30	-	-
12/o28800.3	28800	5,5,2	1	5+5+2	n	n	30	-	-
12/o30240.1	30240	7,3,1,1	1	7+3+1+1	y	n	30	-	-
12/o31104.1	31104	3,3,3,3	24	12	n	n	18	-	-
12/o34560.1	34560	6,2,2,2	6	6+6	n	n	30	-	-
12/o34560.2	34560	6,4,2	1	6+4+2	n	n	30	-	-
12/o40320.1	40320	8,1,1,1,1	1	8+1+1+1+1	y	n	15	-	-
12/o40320.2	40320	7,2,2,1	2	7+4+1	y	n	28	-	-
12/o46080.1	46080	2,2,2,2,2,2	720	12	n	n	12	-	-
12/o50400.1	50400	7,1,1,1,1,1	10	7+5	n	n	60	-	-
12/o51840.1	51840	6,3,3	2	6+6	n	n	30	-	-
12/o57600.1	57600	5,5,2	2	10+2	n	n	30	-	-
12/o60480.1	60480	7,3,2	1	7+3+2	n	n	42	-	-
12/o80640.1	80640	8,1,1,1,1	2	8+2+2	n	n	30	-	-
12/o80640.2	80640	8,2,1,1	1	8+2+1+1	y	n	30	-	-
12/o82944.1	82944	4,4,4	6	12	n	n	24	-	-
12/o86400.1	86400	6,5,1	1	6+5+1	y	n	30	-	-
12/o120960.1	120960	7,4,1	1	7+4+1	y	n	30	-	-
12/o161280.1	161280	8,1,1,1,1	4	8+4	n	n	30	-	-
12/o161280.2	161280	8,2,2	1	8+2+2	n	n	30	-	-
12/o241920.1	241920	8,3,1	1	8+3+1	y	n	30	-	-
12/o322560.1	322560	8,2,2	2	8+4	n	n	60	-	-
12/o362880.1	362880	9,1,1,1	1	9+1+1+1	y	n	20	-	-
12/o518400.1	518400	6,6	1	6+6	n	n	30	-	-
12/o604800.1	604800	7,5	1	7+5	n	n	60	-	-
12/o725760.1	725760	9,2,1	1	9+2+1	y	n	30	-	-
12/o967680.1	967680	8,4	1	8+4	n	n	60	-	-
12/o1036800.1	1036800	6,6	2	12	n	n	30	-	-
12/o2177280.1	2177280	9,3	1	9+3	n	n	60	-	-
12/o3628800.1	3628800	10,1,1	1	10+1+1	y	n	30	-	-
12/o7257600.1	7257600	10,2	1	10+2	n	n	42	-	-
12/o39916800.1	39916800	11,1	1	11+1	y	n	30	-	-
12/o479001600.1	479001600	12	1	12	n	n	60	-	-
13/o1.1	1	1,1,1,1,1,1,1,1,1,1,1,1,1	1	1+1+1+1+1+1+1+1+1+1+1+1+1	y	y	1	y	y
13/o2.1	2	2,1,1,1,1,1,1,1,1,1,1,1	1	2+1+1+1+1+1+1+1+1+1+1+1	y	y	2	y	y
13/o2.2	2	1,1,1,1,1,1,1,1,1,1,1,1,1	2	2+2+1+1+1+1+1+1+1+1+1	y	y	2	y	y
13/o2.3	2	1,1,1,1,1,1,1,1,1,1,1,1,1	2	2+2+2+1+1+1+1+1+1+1	y	y	2	y	y
13/o2.4	2	1,1,1,1,1,1,1,1,1,1,1,1,1	2	2+2+2+2+1+1+1+1+1	y	y	2	y	y
13/o2.5	2	1,1,1,1,1,1,1,1,1,1,1,1,1	2	2+2+2+2+2+1+1+1	y	y	2	y	y
13/o2.6	2	1,1,1,1,1,1,1,1,1,1,1,1,1	2	2+2+2+2+2+2+1	y	y	2	y	y
13/o3.1	3	1,1,1,1,1,1,1,1,1,1,1,1,1	3	3+3+1+1+1+1+1+1+1	y	y	3	y	n
13/o3.2	3	1,1,1,1,1,1,1,1,1,1,1,1,1	3	3+3+3+1+1+1+1	y	y	3	y	n
13/o3.3	3	1,1,1,1,1,1,1,1,1,1,1,1,1	3	3+3+3+3+1	y	y	3	y	n
13/o4.1	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+4+1+1+1+1+1	y	y	4	y	n
13/o4.2	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+4+2+1+1+1	y	y	4	y	n
13/o4.3	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+4+2+2+1	y	y	4	y	n
13/o4.4	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+4+4+1	y	y	4	y	n
13/o4.5	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+1+1+1+1+1+1+1+1+1	y	n	2	y	y
13/o4.6	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+2+1+1+1+1+1+1+1	y	n	2	y	y
13/o4.7	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+2+2+1+1+1+1+1	y	n	2	y	y
13/o4.8	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+2+2+1+1+1+1+1	y	n	2	y	y
13/o4.9	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+4+1+1+1+1+1	y	n	2	y	y
13/o4.10	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+2+2+2+1+1+1	y	n	2	y	y
13/o4.11	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+2+2+2+1+1+1	y	n	2	y	y
13/o4.12	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+2+2+2+1+1+1	y	n	2	y	y
13/o4.13	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+4+2+1+1+1	y	n	2	y	y
13/o4.14	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+2+2+2+2+1	y	n	2	y	y
13/o4.15	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+2+2+2+2+1	y	n	2	y	y
13/o4.16	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+2+2+2+2+1	y	n	2	y	y
13/o4.17	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+2+2+2+2+1	y	n	2	y	y
13/o4.18	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+4+2+2+1	y	n	2	y	y
13/o4.19	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+4+2+2+1	y	n	2	y	y
13/o4.20	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	4+4+4+1	y	n	2	y	y
13/o4.21	4	2,2,1,1,1,1,1,1,1,1,1	1	2+2+1+1+1+1+1+1+1+1+1	y	n	2	y	y
13/o4.22	4	2,1,1,1,1,1,1,1,1,1,1,1	2	2+2+2+1+1+1+1+1+1+1	y	n	2	y	y
13/o4.23	4	2,1,1,1,1,1,1,1,1,1,1,1	2	2+2+2+2+1+1+1+1+1	y	n	2	y	y
13/o4.24	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	2+2+2+2+1+1+1+1+1	y	n	2	y	y
13/o4.25	4	2,1,1,1,1,1,1,1,1,1,1,1	2	2+2+2+2+2+1+1+1	y	n	2	y	y
13/o4.26	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	2+2+2+2+2+1+1+1	y	n	2	y	y
13/o4.27	4	2,1,1,1,1,1,1,1,1,1,1,1	2	2+2+2+2+2+2+1	y	n	2	y	y
13/o4.28	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	2+2+2+2+2+2+1	y	n	2	y	y
13/o4.29	4	1,1,1,1,1,1,1,1,1,1,1,1,1	4	2+2+2+2+2+2+1	y	n	2	y	y
13/o5.1	5	1,1,1,1,1,1,1,1,1,1,1,1,1	5	5+5+1+1+1	y	y	5	y	n
13/o6.1	6	2,1,1,1,1,1,1,1,1,1,1,1	3	3+3+2+1+1+1+1+1	y	y	6	y	n
13/o6.2	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	3+3+2+2+1+1+1	y	y	6	y	n
13/o6.3	6	2,1,1,1,1,1,1,1,1,1,1,1	3	3+3+3+2+1+1	y	y	6	y	n
13/o6.4	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+3+2+1+1	y	y	6	y	n
13/o6.5	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	3+3+2+2+2+1	y	y	6	y	n
13/o6.6	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	3+3+3+2+2	n	y	6	y	n
13/o6.7	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+3+2+2	n	y	6	y	n
13/o6.8	6	3,1,1,1,1,1,1,1,1,1,1	1	3+1+1+1+1+1+1+1+1+1+1	y	n	3	n	y
13/o6.9	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+3+1+1+1+1	y	y	6	y	n
13/o6.10	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+3+3+1	y	y	6	y	n
13/o6.11	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+6+1	y	y	6	y	n
13/o6.12	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+3+2+1+1	y	n	3	n	y
13/o6.13	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+3+2+2	n	n	3	n	y
13/o6.14	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+2+1+1+1+1+1	y	n	3	n	y
13/o6.15	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+2+2+1+1+1	y	n	3	n	y
13/o6.16	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+2+2+2+1	y	n	3	n	y
13/o6.17	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	3+3+1+1+1+1+1+1+1	y	n	3	n	y
13/o6.18	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+1+1+1+1+1+1+1	y	n	3	n	y
13/o6.19	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	3+3+3+1+1+1+1	y	n	3	n	y
13/o6.20	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+3+1+1+1+1	y	n	3	n	y
13/o6.21	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	3+3+3+3+1	y	n	3	n	y
13/o6.22	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+3+3+1	y	n	3	n	y
13/o6.23	6	1,1,1,1,1,1,1,1,1,1,1,1,1	6	6+6+1	y	n	3	n	y
13/o8.1	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	8+4+1	y	y	8	y	n
13/o8.2	8	2,2,1,1,1,1,1,1,1,1,1	2	4+1+1+1+1+1+1+1+1+1	y	n	4	n	y
13/o8.3	8	2,2,1,1,1,1,1,1,1,1,1	2	4+2+1+1+1+1+1+1+1	y	n	4	n	y
13/o8.4	8	2,2,1,1,1,1,1,1,1,1,1	2	4+2+2+1+1+1+1+1	y	n	4	n	y
13/o8.5	8	2,2,1,1,1,1,1,1,1,1,1	2	4+2+2+2+1+1+1	y	n	4	n	y
13/o8.6	8	2,2,1,1,1,1,1,1,1,1,1	2	4+2+2+2+2+1	y	n	4	n	y
13/o8.7	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	8+4+1	y	n	4	y	n
13/o8.8	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	8+1+1+1+1+1	y	n	4	n	y
13/o8.9	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	8+2+1+1+1	y	n	4	n	y
13/o8.10	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	8+2+1+1+1	y	n	4	n	y
13/o8.11	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	8+2+2+1	y	n	4	n	y
13/o8.12	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	8+2+2+1	y	n	4	n	y
13/o8.13	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	8+2+2+1	y	n	4	n	y
13/o8.14	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	8+2+2+1	y	n	4	n	y
13/o8.15	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	8+4+1	y	n	4	n	y
13/o8.16	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	8+4+1	y	n	4	n	y
13/o8.17	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	4+4+2+1+1+1	y	n	4	n	y
13/o8.18	8	2,1,1,1,1,1,1,1,1,1,1,1	4	4+4+2+1+1+1	y	n	4	y	n
13/o8.19	8	1,1,1,1,1,1,1,1,1,1,1,1,1	8	4+4+2+2+1	y	n	4	n	y
